task,capacity,signal,lead_at_far=0.1,ci_lo,ci_hi,n_pos,n_neg
metaworld_button-press-v2,full_rm,R_hat,nan,nan,nan,2,2
metaworld_button-press-v2,full_rm,kappa,nan,nan,nan,2,2
metaworld_button-press-v2,full_rm,proxy_inflection,nan,nan,nan,2,2
metaworld_button-press-v2,full_rm,kl_to_pretrain,nan,nan,nan,2,2
metaworld_button-press-v2,full_rm,entropy_drop,nan,nan,nan,2,2
metaworld_button-press-v2,full_rm,ensemble_var,nan,nan,nan,2,2
metaworld_button-press-v2,linear_rm,R_hat,nan,nan,nan,2,2
metaworld_button-press-v2,linear_rm,kappa,nan,nan,nan,2,2
metaworld_button-press-v2,linear_rm,proxy_inflection,nan,nan,nan,2,2
metaworld_button-press-v2,linear_rm,kl_to_pretrain,nan,nan,nan,2,2
metaworld_button-press-v2,linear_rm,entropy_drop,nan,nan,nan,2,2
metaworld_button-press-v2,linear_rm,ensemble_var,nan,nan,nan,2,2
metaworld_button-press-v2,small_rm,R_hat,nan,nan,nan,2,2
metaworld_button-press-v2,small_rm,kappa,nan,nan,nan,2,2
metaworld_button-press-v2,small_rm,proxy_inflection,nan,nan,nan,2,2
metaworld_button-press-v2,small_rm,kl_to_pretrain,nan,nan,nan,2,2
metaworld_button-press-v2,small_rm,entropy_drop,nan,nan,nan,2,2
metaworld_button-press-v2,small_rm,ensemble_var,nan,nan,nan,2,2
