task,signal,lead_at_far=0.1,ci_lo,ci_hi,n_pos,n_neg
metaworld_button-press-v2,R_hat,48,48,48,1,0
metaworld_button-press-v2,proxy_inflection,48,48,48,1,0
metaworld_button-press-v2,kl_to_pretrain,47,47,47,1,0
metaworld_button-press-v2,entropy_drop,48,48,48,1,0
metaworld_button-press-v2,ensemble_var,44,44,44,1,0
metaworld_door-open-v2,R_hat,0,0,0,1,0
metaworld_door-open-v2,proxy_inflection,0,0,0,1,0
metaworld_door-open-v2,kl_to_pretrain,nan,nan,nan,1,0
metaworld_door-open-v2,entropy_drop,0,0,0,1,0
metaworld_door-open-v2,ensemble_var,nan,nan,nan,1,0
metaworld_door-unlock-v2,R_hat,5.46,5,6,2,0
metaworld_door-unlock-v2,proxy_inflection,5.46,5,6,2,0
metaworld_door-unlock-v2,kl_to_pretrain,4.46,4,5,2,0
metaworld_door-unlock-v2,entropy_drop,5,5,5,2,0
metaworld_door-unlock-v2,ensemble_var,4.54,4,5,2,0
metaworld_drawer-open-v2,R_hat,20.7,14.3,24,7,0
metaworld_drawer-open-v2,proxy_inflection,21,14.9,23.8,7,0
metaworld_drawer-open-v2,kl_to_pretrain,23.5,20,26,7,0
metaworld_drawer-open-v2,entropy_drop,18.8,13.8,23,7,0
metaworld_drawer-open-v2,ensemble_var,17.9,13.4,22.3,7,0
metaworld_hammer-v2,R_hat,74.7,68,81,12,6
metaworld_hammer-v2,proxy_inflection,21.8,13,58,12,6
metaworld_hammer-v2,kl_to_pretrain,84.4,81,94,12,6
metaworld_hammer-v2,entropy_drop,18.9,11,28.7,12,6
metaworld_hammer-v2,ensemble_var,11.9,10,17,12,6
metaworld_sweep-into-v2,R_hat,7.4,6,9,3,0
metaworld_sweep-into-v2,proxy_inflection,6.97,4,8.84,3,0
metaworld_sweep-into-v2,kl_to_pretrain,7.68,6,8.84,3,0
metaworld_sweep-into-v2,entropy_drop,6.49,5.48,8,3,0
metaworld_sweep-into-v2,ensemble_var,6.68,5,8,3,0
metaworld_window-close-v2,R_hat,8.01,7,9,3,0
metaworld_window-close-v2,proxy_inflection,7.75,6.48,9,3,0
metaworld_window-close-v2,kl_to_pretrain,8.35,8,9,3,0
metaworld_window-close-v2,entropy_drop,8.35,8,9,3,0
metaworld_window-close-v2,ensemble_var,7.72,6.32,9,3,0
walker_walk,R_hat,6.98,7,7,11,6
walker_walk,proxy_inflection,9.37,3,12,11,6
walker_walk,kl_to_pretrain,6.12,2,11,11,6
walker_walk,entropy_drop,5.96,4.91,9,11,6
walker_walk,ensemble_var,7,7,7,11,6
