method,seed,round,labels,true_return,regret,gradient_cosine,directional_gradient_bias,posterior_directional_variance,rm_error_full_centered,rm_error_policy_centered,rm_error_critical,rm_decoy_abs_mean,proxy_grad_norm,true_grad_norm,beta,l2
on_policy_random,0,0,22,-0.12873306053526853,3.2587330605352682,0.9894415780470193,2.3784615415126273,49.15337291762149,2.6447168938592807,6.025441397488814,5.392044459264285,0.8782963085394269,3.0626921850994635,0.6915321316265943,5.0,0.001
on_policy_random,0,1,30,0.9092100168314985,2.220789983168501,0.9935079243822666,2.325297550934236,29.75744801577649,2.772183173474298,6.747014773758907,7.379046294376436,0.8257438114533159,2.819455764481263,0.4973872894413806,5.0,0.001
on_policy_random,0,2,38,1.5861297681745201,1.5438702318254798,0.9819725842746108,2.058267740220214,23.613572244248996,4.335519103609034,6.864328803456226,8.685520211083977,1.3455488981564163,2.483967139866635,0.4335145466010007,5.0,0.001
on_policy_random,0,3,46,2.0530310349965255,1.0769689650034744,0.9766581748246762,1.5187711757966,14.095703289456173,4.400658375036203,6.022288915632379,8.70334788381245,1.484423180750063,1.8407145509811187,0.32963772124501195,5.0,0.001
on_policy_random,0,4,54,2.3783514264015877,0.7516485735984122,0.9920111635364214,1.3988762084014963,5.15280701133269,4.634712101753053,6.400801942592126,9.331122061439112,1.5288156907707222,1.6248371488446365,0.22778064274761983,5.0,0.001
on_policy_random,0,5,62,2.540232175274352,0.5897678247256479,0.9924211495259813,1.0528307272181805,2.6363718909185025,4.644394664128899,5.661105534001508,9.495055599555903,1.5296760820823172,1.2191499994829296,0.16758940732388625,5.0,0.001
on_policy_random,0,6,70,2.6425875294921215,0.4874124705078784,0.99509110295613,0.9364857828807048,1.9386683623201937,4.683370850462171,5.739771115237707,10.303851220826747,1.5317820913439166,1.062279609483669,0.12641438178802628,5.0,0.001
on_policy_random,0,7,78,2.7029035062057982,0.42709649379420167,0.9952549373199308,0.7553848736736921,1.2144506593078928,4.685688519078845,5.190106281009655,10.357756751819313,1.5319112623851778,0.8560557715238716,0.10115086504496103,5.0,0.001
on_policy_random,0,8,86,2.7424114264562443,0.38758857354375564,0.995360134805217,0.6314985306032044,0.8342276088053998,4.686746586661697,4.762359477581482,10.383104949672429,1.5319845614578287,0.7153273531217248,0.0842195900631735,5.0,0.001
on_policy_random,0,9,94,2.7703461040085613,0.3596538959914386,0.9954833645642588,0.5442733284110128,0.5944171422755442,4.688367930410262,4.439375299234958,10.42387970242811,1.532039302679571,0.6160178720280156,0.07207005779389065,5.0,0.001
on_policy_random,0,10,102,2.7921217061304273,0.3378782938695726,0.9961717752218419,0.5023794278174856,0.45333216861434067,4.700203869374319,4.3834432471074765,10.780358857094937,1.5321630148297327,0.5646343486520622,0.06249416253608761,5.0,0.001
on_policy_random,0,11,110,2.8087084978373777,0.32129150216262214,0.9962174822040339,0.4454476816412135,0.34788039835372064,4.701529480301062,4.138580280207213,10.816208465510236,1.5322187181663094,0.5003831758181355,0.05514407763190697,5.0,0.001
on_policy_random,0,12,118,2.822426089066773,0.3075739109332267,0.9967636840871961,0.4216836820249336,0.2737308704377568,4.713544581964749,4.1398529506358175,11.212277570015349,1.532138394277902,0.47055125006042303,0.049026232411587906,5.0,0.001
on_policy_random,0,13,126,2.8333625813246544,0.29663741867534554,0.99679268344653,0.3805942374082437,0.21984905213623168,4.71430941572099,3.9387252257318033,11.233091328858935,1.5321763103364905,0.4245790072164555,0.04412629681041501,5.0,0.001
on_policy_random,0,14,134,2.842280771777785,0.28771922822221496,0.9968174291999187,0.34662016305368315,0.18081514822037495,4.714730009812896,3.7621131271053,11.245227217746809,1.532185462967375,0.3866085033260776,0.040116012321825684,5.0,0.001
on_policy_random,0,15,142,2.8498116926346615,0.2801883073653384,0.9969746815838102,0.3236758346830316,0.15109209598063902,4.718707397050103,3.6678506144519525,11.378882244073989,1.5321457276777868,0.36028367371896336,0.03671892547740121,5.0,0.001
on_policy_random,0,16,150,2.856235250233263,0.27376474976673704,0.9970958890086058,0.3030087341773139,0.12772216433835018,4.72209130143319,3.574805748632661,11.491880366984283,1.5321103107558496,0.33672436797134325,0.033813832917867284,5.0,0.001
on_policy_random,0,17,158,2.861768189570885,0.26823181042911504,0.9971932796818758,0.2845583193947705,0.10895551595652109,4.725156834048814,3.4862201196445026,11.592709971742986,1.5320855323193894,0.31577652614625146,0.03130607414586685,5.0,0.001
on_policy_random,0,18,166,2.8665286254487032,0.26347137455129666,0.9972072706758776,0.2651972874360039,0.0941361439394568,4.725421574707273,3.366877139561319,11.600184262924456,1.532088644393504,0.2942605080118436,0.029144613592860687,5.0,0.001
on_policy_random,0,19,174,2.8706691998455223,0.2593308001544776,0.9972196059204939,0.2483936792187959,0.08202599138893292,4.7258287304644355,3.2600918231971527,11.610485395190622,1.5321134741348863,0.2755796089448501,0.02726172807338651,5.0,0.001
on_policy_random,0,20,182,2.874302161978841,0.25569783802115875,0.9972310195186653,0.2334988696840598,0.07223928864074546,4.726034745573584,3.161511558616359,11.61552644062204,1.5321192707190527,0.2590354439369437,0.025607480867582376,5.0,0.001
on_policy_random,0,21,190,2.877515775996275,0.25248422400372483,0.9972415898593632,0.22031011990561827,0.06407812568342093,4.726237544157786,3.0715636231175587,11.620731551458011,1.5321240097015552,0.24438600337853195,0.024142478329959142,5.0,0.001
on_policy_random,0,22,198,2.8803781120374476,0.24962188796255225,0.9972511670762109,0.20848629319876907,0.05728832259803137,4.726331917896788,2.988161183706494,11.62320966740812,1.5321258899033583,0.23125979293883303,0.022836272838699656,5.0,0.001
on_policy_random,0,23,206,2.882969239814775,0.24703076018522507,0.9973249173144882,0.19997737643449356,0.05139714506694434,4.728837332786909,2.9413750096397284,11.70638445732878,1.5321017704828273,0.22157212564783133,0.02165267190103533,5.0,0.001
on_policy_random,0,24,214,2.8853231408507822,0.24467685914921766,0.9973875349410525,0.191991345885454,0.04631566489705076,4.731074878133189,2.8949529687653905,11.781197229135485,1.5320722904716149,0.21251408508202893,0.020576494569673812,5.0,0.001
on_policy_random,0,25,222,2.887468545728086,0.24253145427191392,0.9974420212973236,0.1844795977028336,0.04194525075646588,4.733077611737651,2.8488610351830403,11.847326725677288,1.5320461394410674,0.20402434581299878,0.019594871373821102,5.0,0.001
pool_uniform,0,0,22,-0.12873306053526853,3.2587330605352682,0.9894415780470193,2.3784615415126273,49.15337291762149,2.6447168938592807,6.025441397488814,5.392044459264285,0.8782963085394269,3.0626921850994635,0.6915321316265943,5.0,0.001
pool_uniform,0,1,30,0.7715331364179154,2.3584668635820845,0.9808563314842648,2.0361599305150673,31.896773402630142,4.246648583223315,5.962850789446819,5.436115914450354,1.5358695624979293,2.5560393055975457,0.5300260174655541,5.0,0.001
